x,y,z,time
-1,12,110,1422938429
-1,12,112,1422938429
-1,13,112,1422938429
-3,15,115,1422938429
1,13,122,1422938429
-1,14,104,1422938429
-2,15,106,1422938429
0,10,119,1422938429
0,11,111,1422938429
-3,15,110,1422938429
0,12,110,1422938429
-2,15,109,1422938429
0,12,117,1422938429
0,12,111,1422938429
-1,13,107,1422938429
0,12,114,1422938429
0,13,113,1422938429
-1,14,107,1422938429
-1,13,111,1422938429
-1,13,109,1422938429
0,11,114,1422938429
0,13,113,1422938429
-2,14,109,1422938429
-1,13,112,1422938429
-1,13,111,1422938429
-1,10,113,1422938429
0,12,111,1422938429
-1,14,111,1422938429
0,14,112,1422938429
0,13,112,1422938429
0,12,113,1422938429
-1,12,111,1422938429
-1,14,112,1422938429
-1,14,111,1422938429
-1,14,110,1422938429
-1,12,112,1422938429
0,12,112,1422938429
0,12,112,1422938429
-1,14,113,1422938429
-1,13,111,1422938429
-1,12,112,1422938429
-1,12,112,1422938429
-1,13,111,1422938429
0,13,112,1422938429
0,14,111,1422938430
-1,13,112,1422938430
0,12,112,1422938430
-1,13,111,1422938430
0,13,112,1422938430
-1,12,113,1422938430
-1,13,111,1422938430
0,13,111,1422938430
-1,12,112,1422938430
-1,13,113,1422938430
-1,12,110,1422938430
0,12,111,1422938430
0,12,112,1422938430
-1,13,112,1422938430
0,12,113,1422938430
-1,13,110,1422938430
0,12,111,1422938430
0,13,113,1422938430
-1,14,111,1422938430
-1,13,112,1422938430
-1,13,111,1422938430
0,12,111,1422938430
0,12,113,1422938430
-1,14,111,1422938430
-1,13,112,1422938430
0,12,113,1422938430
0,12,111,1422938430
-1,13,111,1422938430
0,13,112,1422938430
0,13,111,1422938430
-1,12,113,1422938430
0,12,112,1422938430
0,12,111,1422938430
-1,13,112,1422938430
-1,12,111,1422938430
-1,13,111,1422938430
-1,13,112,1422938430
-1,12,113,1422938430
-1,13,111,1422938430
-1,13,110,1422938430
0,13,112,1422938430
0,13,111,1422938430
0,12,112,1422938430
0,13,112,1422938430
0,13,111,1422938430
-1,13,112,1422938430
0,13,113,1422938430
-1,13,110,1422938430
-1,13,112,1422938430
-1,13,110,1422938430
-1,13,112,1422938430
-1,12,113,1422938430
-1,13,110,1422938430
-1,13,112,1422938430
-1,13,111,1422938430
-1,13,111,1422938430
0,12,112,1422938430
0,13,112,1422938430
-1,13,112,1422938430
0,12,112,1422938430
-1,12,111,1422938430
0,12,113,1422938430
-1,13,112,1422938430
-1,12,112,1422938430
-1,13,111,1422938430
0,13,112,1422938430
-1,13,112,1422938430
-1,13,111,1422938430
0,13,112,1422938430
-1,13,112,1422938430
-1,13,111,1422938430
0,12,112,1422938430
0,12,112,1422938430
-1,13,111,1422938430
-1,12,112,1422938430
0,12,112,1422938430
-1,12,112,1422938430
-1,13,111,1422938430
-1,13,112,1422938430
0,13,112,1422938430
0,12,111,1422938430
0,12,111,1422938430
0,12,113,1422938430
-1,13,112,1422938430
-1,14,112,1422938430
-1,13,112,1422938430
0,12,112,1422938430
-1,12,111,1422938430
0,13,111,1422938430
0,13,112,1422938430
-1,13,112,1422938430
-1,13,111,1422938431
0,12,111,1422938431
-1,13,112,1422938431
-1,13,111,1422938431
-1,13,113,1422938431
-1,13,111,1422938431
0,13,112,1422938431
0,13,113,1422938431
0,13,111,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
-1,12,112,1422938431
-1,13,112,1422938431
-1,12,111,1422938431
-1,13,111,1422938431
-1,13,111,1422938431
0,13,112,1422938431
0,13,111,1422938431
-1,13,111,1422938431
-1,13,111,1422938431
0,13,111,1422938431
-1,13,111,1422938431
-1,12,112,1422938431
-1,12,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
0,12,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
-1,13,111,1422938431
0,12,112,1422938431
-1,12,111,1422938431
-1,12,112,1422938431
-1,13,111,1422938431
-1,14,112,1422938431
-1,13,113,1422938431
-1,13,112,1422938431
0,12,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
0,13,112,1422938431
0,12,112,1422938431
-1,13,112,1422938431
0,13,111,1422938431
-1,13,111,1422938431
0,13,112,1422938431
0,12,111,1422938431
-1,13,111,1422938431
-1,12,112,1422938431
-1,13,112,1422938431
-1,12,111,1422938431
0,13,111,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
0,13,112,1422938431
-1,13,112,1422938431
-1,13,111,1422938431
0,13,112,1422938431
0,13,112,1422938431
-1,13,111,1422938431
-1,13,111,1422938431
0,13,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
0,12,111,1422938431
-1,13,111,1422938431
0,12,112,1422938431
-1,12,111,1422938431
0,12,111,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
-1,13,112,1422938431
0,12,112,1422938431
-1,12,113,1422938431
-1,13,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
-1,12,112,1422938431
0,12,113,1422938431
0,12,111,1422938431
-1,13,112,1422938431
0,13,112,1422938431
-1,13,111,1422938431
-1,13,112,1422938431
0,13,111,1422938432
-1,13,111,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
-1,12,112,1422938432
-1,13,112,1422938432
-1,13,111,1422938432
-1,13,112,1422938432
0,12,112,1422938432
-1,13,112,1422938432
0,13,111,1422938432
-1,13,112,1422938432
0,12,111,1422938432
-1,13,112,1422938432
0,13,111,1422938432
0,13,112,1422938432
0,13,112,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
-1,13,111,1422938432
-1,13,111,1422938432
0,12,112,1422938432
-1,12,112,1422938432
-1,12,112,1422938432
-1,12,112,1422938432
-1,13,111,1422938432
-1,13,111,1422938432
-1,13,112,1422938432
0,13,112,1422938432
-1,13,112,1422938432
-1,13,111,1422938432
-1,13,111,1422938432
-1,12,111,1422938432
-1,13,111,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
-1,13,111,1422938432
-1,12,112,1422938432
0,12,111,1422938432
0,12,111,1422938432
-1,13,111,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
0,12,112,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
0,12,112,1422938432
-1,12,112,1422938432
0,13,112,1422938432
0,13,112,1422938432
-1,12,112,1422938432
-1,12,111,1422938432
0,13,112,1422938432
-1,13,112,1422938432
-1,13,112,1422938432
